source,target,exposure
Bank1,Bank2,0.203277422
Bank1,Bank3,0.45193519
Bank1,Bank4,0.470877257
Bank1,Bank5,0.950696911
Bank1,Bank6,0.955516758
Bank7,Bank8,0.924359799
Bank7,Bank9,0.956913827
Bank7,Bank10,0.96707302
Bank7,Bank11,0.967305152
Bank7,Bank12,0.996427223
Bank13,Bank14,0.478453688
Bank13,Bank10,0.48000058
Bank13,Bank15,0.530732399
Bank13,Bank16,0.73050938
Bank13,Bank17,0.956476291
Bank16,Bank18,0.807879877
Bank16,Bank19,0.853971431
Bank16,Bank15,0.856289118
Bank16,Bank20,0.857393973
Bank16,Bank14,0.884439326
Bank21,Bank22,0.889007116
Bank21,Bank23,0.941169696
Bank21,Bank24,0.946286887
Bank21,Bank25,0.949911647
Bank21,Bank26,0.978597181
Bank2,Bank20,0.895606871
Bank2,Bank27,0.923348309
Bank2,Bank19,0.935823478
Bank2,Bank14,0.936233284
Bank2,Bank15,0.936574254
Bank28,Bank29,0.757280946
Bank28,Bank30,0.757333885
Bank28,Bank31,0.782424996
Bank28,Bank32,0.911629056
Bank28,Bank33,0.929218318
Bank34,Bank35,0.738852134
Bank34,Bank36,0.80158853
Bank34,Bank37,0.870996437
Bank34,Bank38,0.884112218
Bank34,Bank39,0.981249733
Bank27,Bank40,0.887954947
Bank27,Bank14,0.907009749
Bank27,Bank19,0.914302853
Bank27,Bank2,0.923348309
Bank27,Bank11,0.936933888
Bank6,Bank41,0.08816476
Bank6,Bank3,0.233599647
Bank6,Bank4,0.335144183
Bank6,Bank5,0.831488303
Bank6,Bank1,0.955516758
Bank42,Bank22,0.580208488
Bank42,Bank16,0.589956674
Bank42,Bank43,0.611674252
Bank42,Bank44,0.637884158
Bank42,Bank45,0.709758636
Bank30,Bank35,0.578960458
Bank30,Bank32,0.619946319
Bank30,Bank33,0.650757157
Bank30,Bank28,0.757333885
Bank30,Bank46,0.82901678
Bank47,Bank40,0.937006047
Bank47,Bank48,0.942556005
Bank47,Bank49,0.952297744
Bank47,Bank50,0.957016134
Bank47,Bank51,0.972765373
Bank22,Bank20,0.861048244
Bank22,Bank26,0.880617854
Bank22,Bank21,0.889007116
Bank22,Bank25,0.902766101
Bank22,Bank23,0.928305251
Bank8,Bank11,0.834240747
Bank8,Bank7,0.924359799
Bank8,Bank12,0.939185059
Bank8,Bank10,0.961533798
Bank8,Bank52,0.97390825
Bank40,Bank49,0.935460034
Bank40,Bank47,0.937006047
Bank40,Bank48,0.937339828
Bank40,Bank9,0.944404265
Bank40,Bank11,0.967401769
Bank36,Bank53,0.557804956
Bank36,Bank17,0.634260435
Bank36,Bank34,0.80158853
Bank36,Bank39,0.828350966
Bank36,Bank37,0.93022112
Bank3,Bank18,0.619231672
Bank3,Bank5,0.625685202
Bank3,Bank25,0.625802342
Bank3,Bank20,0.633485476
Bank3,Bank44,0.828127617
Bank41,Bank54,0.8668713
Bank41,Bank55,0.879489092
Bank41,Bank56,0.895214026
Bank41,Bank57,0.9435295
Bank41,Bank58,0.971211593
Bank19,Bank24,0.937335437
Bank19,Bank18,0.937489554
Bank19,Bank15,0.95422456
Bank19,Bank20,0.973373022
Bank19,Bank14,0.996318444
Bank59,Bank60,0.850922501
Bank59,Bank61,0.915247675
Bank59,Bank62,0.924384591
Bank59,Bank63,0.933302986
Bank59,Bank64,0.992656168
Bank54,Bank65,0.864895541
Bank54,Bank41,0.8668713
Bank54,Bank57,0.915604198
Bank54,Bank56,0.917707172
Bank54,Bank66,0.973328499
Bank62,Bank38,0.873281741
Bank62,Bank64,0.912485563
Bank62,Bank59,0.924384591
Bank62,Bank63,0.934528925
Bank62,Bank43,0.975782535
Bank67,Bank68,0.611148913
