node,failure_prob
Bank1,1.158723625849234e-05
Bank2,1.922161209222395e-05
Bank3,0.669764518737793
Bank4,2.3635735487914644e-05
Bank5,0.004874420817941427
Bank6,2.148035855498165e-05
Bank7,6.857612333988072e-06
Bank8,6.8290537456050515e-06
Bank9,1.9937414208470727e-07
Bank10,3.430046490393579e-05
Bank11,1.2617675793080707e-07
Bank12,5.940663413639413e-06
Bank13,4.221735494525092e-08
Bank14,0.0008789694402366877
Bank15,0.00027408413006924093
Bank16,0.00010326466872356832
Bank17,3.141758270430728e-06
Bank18,1.6355323168681934e-05
Bank19,0.007892328314483166
Bank20,0.0002118255797540769
Bank21,0.997634768486023
Bank22,0.9033406376838684
Bank23,0.771593451499939
Bank24,0.9550023674964905
Bank25,0.9811586141586304
Bank26,0.9968897700309753
Bank27,1.118899861651812e-09
Bank28,4.268140037311241e-05
Bank29,3.973362254328094e-06
Bank30,1.1046530801195331e-07
Bank31,0.00029455608455464244
Bank32,9.769899770617485e-05
Bank33,0.00011754535807995126
Bank34,3.9724527596263215e-06
Bank35,2.8948406907147728e-05
Bank36,9.55258947215043e-05
Bank37,0.00022972826263867319
Bank38,5.994580715196207e-05
Bank39,3.3337475997541333e-06
Bank40,1.4540471049429016e-09
Bank41,4.1073451484407997e-07
Bank42,1.3160574781068135e-06
Bank43,0.00030762780806981027
Bank44,0.5383867025375366
Bank45,0.00011164318129885942
Bank46,1.2794738495358615e-06
Bank47,8.674656783114187e-06
Bank48,3.010226805599814e-07
Bank49,2.6464746838428255e-07
Bank50,2.2702402020513546e-06
Bank51,7.917285984149203e-06
Bank52,2.4438318177999463e-06
Bank53,0.0006889654905535281
Bank54,1.9621254523372045e-06
Bank55,4.0043849480753124e-07
Bank56,2.0942018181813182e-06
Bank57,3.877929884765763e-06
Bank58,6.812219766061389e-08
Bank59,4.2849755118368194e-05
Bank60,1.9528566554072313e-05
Bank61,6.501650932477787e-05
Bank62,0.0011640996672213078
Bank63,5.5842523579485714e-05
Bank64,1.724949288472999e-05
Bank65,1.0837252517603702e-07
Bank66,8.386830359086161e-07
Bank67,2.9270841750417276e-08
Bank68,3.495148484944366e-05
Bank69,2.438081594391406e-07
Bank70,3.924803024801804e-07
Bank71,4.561303157402108e-08
Bank72,8.844861554280214e-07
Bank73,8.206734491977841e-07
Bank74,5.84478755172313e-07
Bank75,2.718805262702517e-06
Bank76,2.9968416129122488e-05
Bank77,2.121268516930286e-05
Bank78,2.339828097319696e-05
Bank79,5.479716591594297e-08
Bank80,5.013315239921212e-05
Bank81,8.657961734570563e-05
Bank82,5.529237387236208e-05
