,degree,in_degree,out_degree,degree_centrality,betweenness,eigenvector,capital,gnn_failure_prob
Bank1,5.0,2.0,5.0,0.06172839506172839,0.01183364777586796,0.07590270790350885,1.45,1.158723625849234e-05
Bank2,7.0,5.0,5.0,0.08641975308641975,0.03523243123639949,0.193346508785452,1.48,1.922161209222395e-05
Bank3,7.0,4.0,5.0,0.08641975308641975,0.07409251023249003,0.16455980251661442,3.4,0.669764518737793
Bank4,8.0,7.0,5.0,0.09876543209876543,0.05489514407452619,0.08532354128857067,2.38,2.3635735487914644e-05
Bank5,5.0,3.0,5.0,0.06172839506172839,0.01183364777586796,0.07590270790350884,3.38,0.004874420817941427
Bank6,5.0,2.0,5.0,0.06172839506172839,0.12486867429462102,0.05574327635371385,2.03,2.148035855498165e-05
Bank7,6.0,6.0,5.0,0.07407407407407407,0.0020320685108654035,0.02016612618170542,2.35,6.857612333988072e-06
Bank8,7.0,6.0,5.0,0.08641975308641975,0.018359515126636045,0.021029180634499742,1.61,6.8290537456050515e-06
Bank9,7.0,7.0,5.0,0.08641975308641975,0.016375899461317747,0.01956462993628248,1.67,1.9937414208470727e-07
Bank10,6.0,6.0,5.0,0.07407407407407407,0.04055944102104929,0.03220232095004769,4.39,3.430046490393579e-05
Bank11,9.0,9.0,5.0,0.1111111111111111,0.046843002485237484,0.0371814825742175,2.34,1.2617675793080707e-07
Bank12,8.0,8.0,5.0,0.09876543209876543,0.028919934962568263,0.023394669607901555,4.04,5.940663413639413e-06
Bank13,5.0,1.0,5.0,0.06172839506172839,0.05604804609911631,0.12276289196593455,3.5,4.221735494525092e-08
Bank14,8.0,7.0,5.0,0.09876543209876543,0.031904483360843054,0.2622940231800862,3.03,0.0008789694402366877
Bank15,10.0,10.0,5.0,0.12345679012345678,0.05383531615775354,0.3087015018614136,4.16,0.00027408413006924093
Bank16,9.0,4.0,5.0,0.1111111111111111,0.09004406847957798,0.25886480712563636,2.56,0.00010326466872356832
Bank17,5.0,2.0,5.0,0.06172839506172839,0.05551956968244606,0.06772459675392324,3.45,3.141758270430728e-06
Bank18,12.0,12.0,5.0,0.14814814814814814,0.06450676014355282,0.36132420527428144,2.74,1.6355323168681934e-05
Bank19,8.0,7.0,5.0,0.09876543209876543,0.03876098136424108,0.2712706997437943,3.89,0.007892328314483166
Bank20,12.0,12.0,5.0,0.14814814814814814,0.05423343286316061,0.3657241026573873,3.85,0.0002118255797540769
Bank21,5.0,5.0,5.0,0.06172839506172839,0.002565947897214386,0.11139205986608847,3.82,0.997634768486023
Bank22,9.0,6.0,5.0,0.1111111111111111,0.05667469796584524,0.16744419167049818,3.84,0.9033406376838684
Bank23,5.0,4.0,5.0,0.06172839506172839,0.012908613096962283,0.07349407237917104,3.88,0.771593451499939
Bank24,6.0,5.0,5.0,0.07407407407407407,0.008289079557504698,0.19972801077860852,4.37,0.9550023674964905
Bank25,7.0,7.0,5.0,0.08641975308641975,0.013649808014279667,0.20681157591190483,3.78,0.9811586141586304
Bank26,7.0,5.0,5.0,0.08641975308641975,0.01794936422806089,0.19619025912210794,2.74,0.9968897700309753
Bank27,5.0,1.0,5.0,0.06172839506172839,0.08793585887319878,0.10458345078465729,4.34,1.118899861651812e-09
Bank28,5.0,3.0,5.0,0.06172839506172839,0.0018021048447154839,0.005723968690287557,3.99,4.268140037311241e-05
Bank29,7.0,5.0,5.0,0.08641975308641975,0.03291063553003069,0.01035121311914418,2.16,3.973362254328094e-06
Bank30,5.0,2.0,5.0,0.06172839506172839,0.02882806919332089,0.006230008959116232,1.54,1.1046530801195331e-07
